online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),listed_in(type)
Yes,No,3.5 /5,16,Koramangala 5th Block,Beverage Shop,150,Desserts
No,No,3.6 /5,31,Jayanagar,Bakery,250,Desserts
Yes,No,3.9 /5,107,Bannerghatta Road,Dessert Parlor,400,Desserts
No,No,3.8 /5,62,Koramangala 7th Block,"Bakery, Dessert Parlor",150,Desserts
Yes,No,4.1 /5,450,Jayanagar,Cafe,400,Desserts
No,No,2.5 /5,58,HSR,Delivery,500,Desserts
Yes,No,3.4 /5,8,Koramangala 5th Block,Bakery,400,Desserts
Yes,No,3.2 /5,12,Jayanagar,Dessert Parlor,200,Desserts
No,No,3.2 /5,64,JP Nagar,"Bakery, Quick Bites",600,Desserts
Yes,No,3.7 /5,176,HSR,"Takeaway, Delivery",400,Desserts
No,No,,0,Koramangala 4th Block,Dessert Parlor,100,Desserts
Yes,No,3.5 /5,29,Koramangala 7th Block,Bakery,400,Desserts
No,No,3.6 /5,43,JP Nagar,"Casual Dining, Sweet Shop",400,Desserts
Yes,No,3.8 /5,34,Koramangala 5th Block,Sweet Shop,250,Desserts
No,No,3.7 /5,45,JP Nagar,Dessert Parlor,200,Desserts
No,No,2.9 /5,27,JP Nagar,"Bakery, Quick Bites",400,Desserts
No,No,3.2 /5,4,Bannerghatta Road,Sweet Shop,150,Desserts
No,No,,0,Bannerghatta Road,Bakery,400,Desserts
No,No,,0,Bannerghatta Road,Bakery,300,Desserts
No,No,,0,Koramangala 7th Block,"Bakery, Dessert Parlor",350,Desserts
No,No,,0,Jayanagar,Takeaway,200,Desserts
No,No,,0,Jayanagar,"Beverage Shop, Quick Bites",150,Desserts
Yes,No,3.3 /5,5,Bommanahalli,Sweet Shop,250,Desserts
No,No,,0,Jayanagar,"Bakery, Sweet Shop",200,Desserts
Yes,No,4.1 /5,95,JP Nagar,Bakery,500,Desserts
No,No,3.6 /5,11,Jayanagar,Quick Bites,200,Desserts
Yes,No,,0,Koramangala 7th Block,Bakery,200,Desserts
No,No,3.3 /5,6,JP Nagar,Quick Bites,500,Desserts
No,No,3.6 /5,14,JP Nagar,Bakery,300,Desserts
No,No,,0,Jayanagar,Sweet Shop,250,Desserts
No,No,3.3 /5,4,Bannerghatta Road,Bakery,400,Desserts
No,No,,0,Bannerghatta Road,Dessert Parlor,300,Desserts
No,No,,0,Koramangala 7th Block,"Takeaway, Delivery",550,Desserts
No,No,,0,Koramangala 7th Block,Food Court,150,Desserts
Yes,No,3.2 /5,4,Bommanahalli,"Bakery, Beverage Shop",250,Desserts
No,No,,0,JP Nagar,"Takeaway, Delivery",250,Desserts
No,No,,0,Bannerghatta Road,Food Court,250,Desserts
No,No,,0,Bannerghatta Road,Bakery,500,Desserts
No,No,,0,Koramangala 5th Block,Dessert Parlor,800,Desserts
Yes,No,,0,Koramangala 1st Block,Cafe,400,Desserts
No,No,3.2 /5,4,Bommanahalli,Takeaway,500,Desserts
Yes,No,,0,Bannerghatta Road,Dessert Parlor,300,Desserts
No,No,,0,Marathahalli,Dessert Parlor,200,Desserts
No,No,,0,Bannerghatta Road,Dessert Parlor,250,Desserts
No,No,3.5 /5,10,Koramangala 5th Block,Quick Bites,250,Desserts
No,No,3.3 /5,10,Koramangala 7th Block,"Quick Bites, Sweet Shop",150,Desserts
No,No,,0,Jayanagar,Bakery,300,Desserts
No,No,3.3 /5,6,Jayanagar,Bakery,350,Desserts
No,No,3.6 /5,10,Bannerghatta Road,Food Court,400,Desserts
No,No,3.8 /5,38,Koramangala 5th Block,Dessert Parlor,400,Desserts
No,No,3.3 /5,4,HSR,"Takeaway, Delivery",600,Desserts
No,No,3.7 /5,9,Bannerghatta Road,Cafe,400,Desserts
No,No,,0,JP Nagar,Bakery,350,Desserts
No,No,,0,Jayanagar,"Bakery, Beverage Shop",100,Desserts
No,No,,0,Koramangala 4th Block,Sweet Shop,500,Desserts
No,No,,0,Bommanahalli,Bakery,300,Desserts
No,No,3.5 /5,15,Koramangala 5th Block,"Dessert Parlor, Quick Bites",400,Desserts
No,No,3.6 /5,10,Jayanagar,Dessert Parlor,200,Desserts
No,No,,0,JP Nagar,Bakery,600,Desserts
No,No,3.3 /5,10,Bannerghatta Road,Food Court,250,Desserts
No,No,3.5 /5,7,Jayanagar,Cafe,900,Desserts
No,No,3.7 /5,49,Koramangala 7th Block,"Dessert Parlor, Beverage Shop",400,Desserts
No,No,2.9 /5,30,Koramangala 7th Block,Dessert Parlor,250,Desserts
Yes,No,3.8 /5,75,Koramangala 3rd Block,Sweet Shop,200,Desserts
No,No,,0,Bannerghatta Road,Bakery,600,Desserts
Yes,No,3.7 /5,22,Bannerghatta Road,Dessert Parlor,300,Desserts
Yes,No,NEW,0,Koramangala 7th Block,Cafe,300,Desserts
No,Yes,4.9/5,6375,BTM,Casual Dining,1600,Dine-out
No,Yes,4.4/5,201,BTM,Casual Dining,1300,Dine-out
Yes,Yes,4.2/5,3230,BTM,"Casual Dining, Microbrewery",1600,Dine-out
No,Yes,4.4/5,1149,BTM,"Casual Dining, Bar",1100,Dine-out
Yes,Yes,4.5/5,799,BTM,Casual Dining,800,Dine-out
Yes,Yes,4.5/5,1874,BTM,Cafe,900,Dine-out
Yes,Yes,4.1/5,1541,BTM,Casual Dining,800,Dine-out
Yes,Yes,4.1/5,624,BTM,"Casual Dining, Bar",1500,Dine-out
Yes,No,4.1/5,1272,BTM,Casual Dining,900,Dine-out
Yes,No,4.0/5,827,BTM,Casual Dining,500,Dine-out
Yes,No,3.7/5,479,BTM,Casual Dining,850,Dine-out
No,No,3.9/5,204,BTM,Casual Dining,550,Dine-out
Yes,No,3.9/5,467,BTM,Casual Dining,550,Dine-out
Yes,No,3.9/5,222,BTM,Casual Dining,500,Dine-out
No,No,4.3/5,315,BTM,Mess,300,Dine-out
Yes,Yes,4.1/5,2724,BTM,Casual Dining,800,Dine-out
Yes,No,3.8/5,254,BTM,Casual Dining,800,Dine-out
Yes,No,4.2/5,185,BTM,Mess,300,Dine-out
Yes,No,3.5/5,9,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,37,BTM,Casual Dining,400,Dine-out
Yes,No,3.9/5,420,BTM,Casual Dining,800,Dine-out
Yes,No,3.9/5,363,BTM,Casual Dining,600,Dine-out
No,Yes,4.0/5,165,BTM,Bar,1100,Dine-out
Yes,No,4.1/5,464,BTM,Cafe,500,Dine-out
Yes,No,3.7/5,115,BTM,Casual Dining,550,Dine-out
No,No,3.8/5,52,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,135,BTM,Casual Dining,500,Dine-out
Yes,No,3.8/5,685,BTM,Casual Dining,400,Dine-out
Yes,No,3.9/5,255,BTM,Casual Dining,500,Dine-out
No,No,3.8/5,69,BTM,Quick Bites,300,Dine-out
Yes,Yes,3.9/5,65,BTM,Casual Dining,600,Dine-out
Yes,No,4.1/5,295,BTM,Casual Dining,700,Dine-out
Yes,No,3.0/5,102,BTM,Casual Dining,600,Dine-out
Yes,No,4.0/5,245,BTM,Quick Bites,400,Dine-out
Yes,No,3.7/5,26,BTM,Casual Dining,700,Dine-out
Yes,No,4.0/5,943,BTM,Casual Dining,600,Dine-out
Yes,No,3.6/5,15,BTM,,700,Dine-out
Yes,No,3.7/5,44,BTM,Casual Dining,550,Dine-out
Yes,No,3.9/5,100,BTM,Casual Dining,600,Dine-out
Yes,Yes,3.9/5,74,BTM,Casual Dining,700,Dine-out
Yes,No,3.8/5,273,BTM,Casual Dining,900,Dine-out
No,No,3.4/5,5,BTM,Casual Dining,1000,Dine-out
Yes,No,3.8/5,24,BTM,Cafe,700,Dine-out
Yes,No,3.9/5,68,BTM,Casual Dining,1000,Dine-out
Yes,No,3.9/5,214,BTM,Casual Dining,600,Dine-out
Yes,No,2.7/5,48,BTM,Casual Dining,700,Dine-out
Yes,No,3.9/5,670,BTM,Casual Dining,500,Dine-out
Yes,No,3.6/5,218,BTM,Casual Dining,600,Dine-out
Yes,No,3.5/5,221,BTM,"Sweet Shop, Quick Bites",400,Dine-out
Yes,No,3.6/5,19,BTM,Cafe,400,Dine-out
Yes,No,3.6/5,71,BTM,Quick Bites,350,Dine-out
Yes,No,3.7/5,31,BTM,Beverage Shop,150,Dine-out
Yes,No,3.8/5,100,BTM,Cafe,700,Dine-out
Yes,No,3.1/5,18,BTM,Casual Dining,450,Dine-out
No,No,NEW,0,BTM,Casual Dining,600,Dine-out
Yes,No,3.3/5,14,BTM,,600,Dine-out
Yes,No,3.8/5,99,BTM,Casual Dining,350,Dine-out
No,No,3.7/5,22,BTM,"Quick Bites, Dessert Parlor",300,Dine-out
No,No,4.4/5,76,BTM,Casual Dining,600,Dine-out
Yes,No,3.6/5,45,BTM,Casual Dining,500,Dine-out
No,No,3.5/5,7,BTM,Sweet Shop,300,Dine-out
No,No,3.7/5,104,BTM,Casual Dining,700,Dine-out
No,No,NEW,0,BTM,Casual Dining,600,Dine-out
Yes,No,3.5/5,40,BTM,Casual Dining,350,Dine-out
Yes,No,3.5/5,735,BTM,Casual Dining,600,Dine-out
No,No,2.9/5,84,BTM,Casual Dining,500,Dine-out
Yes,No,3.9/5,331,BTM,Cafe,200,Dine-out
Yes,No,2.6/5,60,BTM,Cafe,900,Dine-out
Yes,No,3.8/5,117,BTM,Casual Dining,600,Dine-out
Yes,No,3.8/5,613,BTM,Cafe,600,Dine-out
No,No,3.6/5,18,BTM,Casual Dining,500,Dine-out
Yes,No,3.4/5,29,BTM,Casual Dining,750,Dine-out
Yes,No,3.0/5,61,BTM,Cafe,650,Dine-out
Yes,No,3.6/5,41,BTM,Cafe,600,Dine-out
No,No,4.0/5,147,BTM,Cafe,400,Dine-out
Yes,No,3.1/5,18,BTM,Casual Dining,500,Dine-out
Yes,No,3.8/5,337,BTM,Casual Dining,800,Dine-out
No,No,3.7/5,28,BTM,Casual Dining,500,Dine-out
No,No,3.4/5,5,BTM,Quick Bites,400,Dine-out
No,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,2.7/5,73,BTM,Casual Dining,600,Dine-out
Yes,No,3.1/5,140,BTM,Casual Dining,600,Dine-out
Yes,No,2.7/5,172,BTM,Casual Dining,450,Dine-out
Yes,No,3.6/5,18,BTM,Quick Bites,350,Dine-out
Yes,No,3.6/5,34,BTM,Casual Dining,300,Dine-out
Yes,No,3.4/5,7,South Bangalore,Food Truck,200,Dine-out
Yes,No,2.9/5,7,BTM,Cafe,400,Dine-out
No,No,3.5/5,18,BTM,Casual Dining,550,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Sweet Shop,250,Dine-out
Yes,No,2.6/5,33,BTM,Casual Dining,500,Dine-out
No,No,4.0/5,372,BTM,Casual Dining,500,Dine-out
No,No,3.0/5,15,BTM,Bar,1000,Dine-out
No,No,,0,BTM,"Beverage Shop, Quick Bites",400,Dine-out
No,No,,0,BTM,Kiosk,200,Dine-out
Yes,No,3.8/5,254,BTM,Casual Dining,550,Dine-out
Yes,No,3.1/5,11,BTM,Casual Dining,500,Dine-out
Yes,No,3.6/5,22,BTM,Casual Dining,600,Dine-out
Yes,No,,0,BTM,Casual Dining,700,Dine-out
Yes,No,,0,BTM,Cafe,200,Dine-out
Yes,No,3.7/5,46,BTM,Casual Dining,600,Dine-out
Yes,No,2.5/5,109,BTM,Casual Dining,800,Dine-out
No,No,3.5/5,39,BTM,Bar,1200,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Casual Dining,450,Dine-out
No,No,,0,BTM,Quick Bites,350,Dine-out
Yes,No,,0,BTM,Quick Bites,250,Dine-out
Yes,No,,0,BTM,Cafe,500,Dine-out
Yes,No,,0,South Bangalore,Food Truck,200,Dine-out
No,No,4.0/5,115,BTM,Casual Dining,1000,Dine-out
No,No,3.2/5,11,BTM,Cafe,500,Dine-out
No,No,2.9/5,17,BTM,Casual Dining,600,Dine-out
No,No,3.3/5,15,BTM,Cafe,900,Dine-out
Yes,Yes,3.7/5,49,BTM,Cafe,300,Dine-out
No,No,,0,BTM,Casual Dining,500,Dine-out
No,No,3.6/5,39,BTM,Casual Dining,600,Dine-out
No,No,3.6/5,25,BTM,Casual Dining,500,Dine-out
No,No,3.1/5,53,BTM,Casual Dining,600,Dine-out
No,No,3.6/5,61,BTM,Cafe,500,Dine-out
No,No,3.6/5,22,BTM,Cafe,500,Dine-out
No,No,3.5/5,10,BTM,Quick Bites,250,Dine-out
No,No,,0,BTM,Casual Dining,600,Dine-out
No,No,3.4/5,7,BTM,Casual Dining,550,Dine-out
No,No,3.4/5,7,BTM,Quick Bites,350,Dine-out
Yes,No,3.9/5,438,BTM,Casual Dining,650,Dine-out
No,No,3.7/5,41,BTM,Casual Dining,450,Dine-out
No,No,3.1/5,8,BTM,Casual Dining,600,Dine-out
No,No,3.4/5,5,BTM,Beverage Shop,100,Dine-out
No,No,3.6/5,13,BTM,Beverage Shop,200,Dine-out
No,No,3.1/5,6,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,350,Dine-out
No,No,,0,BTM,"Beverage Shop, Quick Bites",300,Dine-out
No,No,3.5/5,8,BTM,Casual Dining,700,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,NEW,0,BTM,Casual Dining,1200,Dine-out
No,No,NEW,0,BTM,Casual Dining,400,Dine-out
No,No,3.2/5,6,BTM,Casual Dining,700,Dine-out
No,No,NEW,0,BTM,"Bar, Casual Dining",800,Dine-out
No,No,3.4/5,8,BTM,Quick Bites,200,Dine-out
No,No,3.7/5,112,BTM,Casual Dining,500,Dine-out
Yes,No,3.7/5,32,BTM,"Pub, Casual Dining",900,Dine-out
Yes,No,3.8/5,208,BTM,"Cafe, Quick Bites",650,Dine-out
Yes,Yes,3.9/5,487,BTM,Cafe,700,Dine-out
No,No,3.8/5,63,BTM,Cafe,500,Dine-out
Yes,No,3.4/5,35,BTM,"Cafe, Quick Bites",500,Dine-out
Yes,No,4.0/5,113,BTM,"Beverage Shop, Quick Bites",250,Dine-out
Yes,No,2.8/5,62,BTM,Casual Dining,500,Dine-out
Yes,No,3.5/5,270,BTM,,600,Dine-out
Yes,No,3.9/5,52,BTM,Quick Bites,300,Dine-out
Yes,No,3.2/5,44,BTM,Dhaba,400,Dine-out
Yes,No,3.3/5,19,BTM,Casual Dining,750,Dine-out
No,No,NEW,0,BTM,Cafe,550,Dine-out
Yes,No,3.9/5,88,BTM,Quick Bites,1000,Dine-out
Yes,No,4.1/5,99,BTM,Quick Bites,300,Dine-out
No,No,NEW,0,BTM,Quick Bites,70,Dine-out
Yes,No,3.7/5,21,BTM,Quick Bites,400,Dine-out
Yes,No,3.9/5,1189,BTM,Quick Bites,500,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,23,BTM,Quick Bites,300,Dine-out
Yes,No,3.9/5,179,BTM,Quick Bites,250,Dine-out
Yes,No,4.2/5,465,BTM,Quick Bites,400,Dine-out
Yes,No,4.1/5,783,BTM,Quick Bites,300,Dine-out
No,No,4.0/5,137,BTM,Quick Bites,200,Dine-out
Yes,No,3.9/5,191,BTM,Quick Bites,300,Dine-out
Yes,No,3.5/5,383,BTM,Quick Bites,400,Dine-out
Yes,No,4.1/5,381,BTM,Quick Bites,250,Dine-out
Yes,No,4.2/5,465,BTM,Quick Bites,300,Dine-out
Yes,No,3.9/5,348,BTM,Quick Bites,400,Dine-out
Yes,No,4.1/5,521,BTM,Quick Bites,400,Dine-out
Yes,No,3.3/5,42,BTM,Quick Bites,500,Dine-out
No,No,3.6/5,39,BTM,Quick Bites,400,Dine-out
Yes,No,3.9/5,441,BTM,Quick Bites,500,Dine-out
Yes,No,3.5/5,11,BTM,Quick Bites,300,Dine-out
Yes,No,4.0/5,23,BTM,Quick Bites,400,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,250,Dine-out
Yes,No,3.5/5,9,BTM,Quick Bites,600,Dine-out
Yes,No,4.0/5,199,BTM,Quick Bites,300,Dine-out
Yes,No,3.9/5,201,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,200,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,400,Dine-out
Yes,No,4.0/5,113,BTM,Quick Bites,400,Dine-out
Yes,No,3.8/5,22,BTM,Quick Bites,300,Dine-out
Yes,No,3.8/5,376,BTM,Quick Bites,500,Dine-out
Yes,No,3.7/5,35,BTM,Quick Bites,200,Dine-out
No,No,3.4/5,5,BTM,Quick Bites,200,Dine-out
No,Yes,NEW,0,BTM,Quick Bites,200,Dine-out
Yes,No,4.0/5,84,BTM,Quick Bites,400,Dine-out
Yes,No,3.6/5,10,BTM,Quick Bites,100,Dine-out
No,No,4.0/5,160,BTM,"Quick Bites, Sweet Shop",150,Dine-out
No,No,3.4/5,7,BTM,Quick Bites,300,Dine-out
Yes,No,3.8/5,12,BTM,Quick Bites,300,Dine-out
Yes,No,3.6/5,24,BTM,Quick Bites,300,Dine-out
Yes,No,3.2/5,64,BTM,Quick Bites,250,Dine-out
Yes,No,3.6/5,6,BTM,Quick Bites,200,Dine-out
Yes,No,3.7/5,20,BTM,Quick Bites,300,Dine-out
Yes,No,3.9/5,879,BTM,Quick Bites,500,Dine-out
Yes,No,4.1/5,128,BTM,Quick Bites,150,Dine-out
Yes,No,3.7/5,31,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,48,BTM,Quick Bites,350,Dine-out
No,No,,0,BTM,Quick Bites,100,Dine-out
Yes,No,3.1/5,59,BTM,Quick Bites,400,Dine-out
Yes,No,3.6/5,14,BTM,Quick Bites,400,Dine-out
No,No,3.8/5,110,BTM,Quick Bites,200,Dine-out
Yes,No,3.9/5,183,BTM,Quick Bites,250,Dine-out
Yes,No,3.9/5,201,BTM,Quick Bites,300,Dine-out
No,No,3.5/5,17,BTM,Quick Bites,200,Dine-out
No,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.4/5,46,BTM,Quick Bites,200,Dine-out
Yes,No,3.7/5,66,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,150,Dine-out
Yes,No,2.8/5,178,BTM,Quick Bites,700,Dine-out
Yes,No,3.5/5,15,BTM,Quick Bites,400,Dine-out
Yes,No,3.6/5,23,BTM,Quick Bites,350,Dine-out
No,No,4.1/5,358,BTM,Quick Bites,500,Dine-out
Yes,No,3.9/5,170,BTM,Quick Bites,300,Dine-out
No,No,3.7/5,126,BTM,Quick Bites,200,Dine-out
No,No,3.5/5,13,BTM,Quick Bites,200,Dine-out
Yes,No,2.8/5,138,BTM,Quick Bites,300,Dine-out
Yes,No,3.1/5,42,BTM,Quick Bites,800,Dine-out
Yes,No,3.7/5,31,BTM,Quick Bites,400,Dine-out
Yes,No,3.9/5,56,BTM,Quick Bites,300,Dine-out
Yes,No,3.3/5,12,BTM,Quick Bites,500,Dine-out
Yes,No,3.7/5,27,BTM,Quick Bites,500,Dine-out
No,No,NEW,0,BTM,Quick Bites,200,Dine-out
No,No,NEW,0,BTM,Quick Bites,100,Dine-out
No,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.8/5,57,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,195,BTM,Quick Bites,400,Dine-out
Yes,No,3.5/5,13,BTM,Quick Bites,300,Dine-out
Yes,No,3.9/5,187,BTM,Quick Bites,600,Dine-out
Yes,No,3.3/5,6,BTM,Quick Bites,350,Dine-out
Yes,No,3.5/5,177,BTM,Quick Bites,500,Dine-out
Yes,No,3.9/5,124,BTM,Quick Bites,400,Dine-out
Yes,No,3.4/5,6,BTM,Quick Bites,300,Dine-out
No,No,3.5/5,11,BTM,Quick Bites,300,Dine-out
No,No,4.0/5,213,BTM,Quick Bites,500,Dine-out
Yes,No,3.3/5,48,BTM,Quick Bites,300,Dine-out
No,No,NEW,0,BTM,Quick Bites,400,Dine-out
Yes,No,,0,BTM,Quick Bites,600,Dine-out
Yes,No,3.0/5,96,BTM,Quick Bites,300,Dine-out
Yes,No,3.4/5,24,BTM,Quick Bites,300,Dine-out
No,No,3.5/5,39,BTM,Quick Bites,500,Dine-out
Yes,No,3.6/5,59,BTM,Quick Bites,500,Dine-out
No,No,3.8/5,58,BTM,Quick Bites,300,Dine-out
No,No,3.9/5,41,BTM,"Bakery, Quick Bites",200,Dine-out
Yes,No,3.8/5,61,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,200,Dine-out
Yes,No,3.7/5,27,BTM,Quick Bites,400,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,200,Dine-out
Yes,No,3.6/5,41,BTM,Quick Bites,400,Dine-out
No,No,3.4/5,4,BTM,Quick Bites,150,Dine-out
Yes,No,3.9/5,357,BTM,Quick Bites,400,Dine-out
Yes,No,3.3/5,334,BTM,Quick Bites,400,Dine-out
Yes,No,3.4/5,84,BTM,Quick Bites,300,Dine-out
No,No,3.8/5,87,BTM,Quick Bites,250,Dine-out
Yes,No,3.8/5,60,BTM,Quick Bites,300,Dine-out
No,No,NEW,0,BTM,Quick Bites,150,Dine-out
No,No,2.8/5,27,BTM,Quick Bites,250,Dine-out
No,No,3.3/5,5,BTM,Quick Bites,70,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
Yes,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
Yes,No,,0,BTM,Quick Bites,200,Dine-out
No,No,3.7/5,35,BTM,Quick Bites,200,Dine-out
Yes,No,3.9/5,138,BTM,Quick Bites,300,Dine-out
Yes,No,3.6/5,35,BTM,Quick Bites,300,Dine-out
No,No,3.1/5,18,BTM,Quick Bites,400,Dine-out
No,No,3.4/5,7,BTM,Quick Bites,150,Dine-out
Yes,No,3.2/5,30,BTM,Quick Bites,500,Dine-out
Yes,No,3.1/5,40,BTM,Quick Bites,400,Dine-out
Yes,No,3.1/5,30,BTM,Quick Bites,500,Dine-out
No,No,3.3/5,6,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,3.4/5,4,BTM,Quick Bites,200,Dine-out
No,No,3.4/5,6,BTM,Quick Bites,200,Dine-out
Yes,No,3.5/5,24,BTM,Quick Bites,350,Dine-out
Yes,No,3.7/5,209,BTM,Quick Bites,300,Dine-out
Yes,No,3.5/5,283,BTM,Quick Bites,350,Dine-out
Yes,No,3.6/5,474,BTM,Quick Bites,450,Dine-out
Yes,No,3.1/5,7,BTM,Quick Bites,400,Dine-out
Yes,No,2.9/5,42,BTM,Quick Bites,250,Dine-out
Yes,No,3.4/5,29,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,61,BTM,Quick Bites,450,Dine-out
Yes,No,3.0/5,36,BTM,Quick Bites,200,Dine-out
Yes,No,3.5/5,17,BTM,Quick Bites,300,Dine-out
Yes,No,2.9/5,24,BTM,Quick Bites,250,Dine-out
Yes,No,3.2/5,19,BTM,Quick Bites,400,Dine-out
Yes,No,3.4/5,14,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.0/5,39,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.8/5,50,BTM,Quick Bites,250,Dine-out
Yes,No,3.2/5,10,BTM,Quick Bites,250,Dine-out
Yes,No,3.6/5,42,BTM,Quick Bites,250,Dine-out
Yes,No,3.4/5,8,BTM,Quick Bites,150,Dine-out
No,No,3.6/5,11,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,250,Dine-out
No,No,,0,BTM,Quick Bites,120,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.4/5,6,BTM,Quick Bites,400,Dine-out
Yes,No,3.6/5,26,BTM,Quick Bites,100,Dine-out
Yes,No,3.3/5,26,BTM,Quick Bites,300,Dine-out
Yes,No,3.3/5,12,BTM,Quick Bites,250,Dine-out
Yes,No,3.7/5,184,BTM,Quick Bites,400,Dine-out
Yes,No,3.1/5,15,BTM,Quick Bites,500,Dine-out
Yes,No,3.0/5,11,BTM,Quick Bites,300,Dine-out
Yes,No,3.5/5,12,BTM,Quick Bites,250,Dine-out
Yes,No,3.7/5,25,BTM,Quick Bites,400,Dine-out
Yes,No,,0,BTM,Quick Bites,600,Dine-out
No,No,3.3/5,33,BTM,Quick Bites,150,Dine-out
Yes,No,,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.3/5,34,BTM,Quick Bites,500,Dine-out
Yes,No,3.5/5,12,BTM,Quick Bites,400,Dine-out
No,No,3.8/5,67,BTM,Quick Bites,400,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,200,Dine-out
No,No,3.0/5,67,BTM,Quick Bites,300,Dine-out
No,No,2.4/5,221,BTM,Quick Bites,550,Dine-out
No,No,3.3/5,11,BTM,Quick Bites,300,Dine-out
No,No,3.6/5,11,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Quick Bites,150,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,250,Dine-out
No,No,,0,BTM,Quick Bites,350,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,"Quick Bites, Beverage Shop",200,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Quick Bites,200,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,500,Dine-out
Yes,No,3.4/5,5,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,100,Dine-out
No,No,,0,BTM,Quick Bites,400,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,150,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,,0,BTM,Quick Bites,350,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,NEW,0,BTM,Quick Bites,300,Dine-out
No,No,NEW,0,BTM,Quick Bites,200,Dine-out
No,No,NEW,0,BTM,Quick Bites,250,Dine-out
Yes,No,2.6/5,473,BTM,Quick Bites,600,Dine-out
Yes,No,,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.2/5,13,BTM,Quick Bites,300,Dine-out
Yes,No,,0,BTM,Quick Bites,400,Dine-out
Yes,No,,0,BTM,Quick Bites,250,Dine-out
Yes,No,3.5/5,31,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.7/5,21,BTM,Quick Bites,500,Dine-out
No,No,3.1/5,4,BTM,Quick Bites,300,Dine-out
Yes,No,,0,BTM,Quick Bites,350,Dine-out
Yes,No,,0,BTM,Quick Bites,300,Dine-out
Yes,No,3.6/5,16,BTM,Quick Bites,300,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,500,Dine-out
No,No,,0,BTM,Quick Bites,300,Dine-out
No,No,3.7/5,43,BTM,Quick Bites,300,Dine-out
